时间,电导1,电导2,电导3
69,155.6757,129.8514,109.3426
70,152.6685,129.4282,111.2438
71,149.8231,128.7639,112.9640
72,147.1312,127.8906,114.4959
73,144.5845,126.8388,115.8355
74,142.1753,125.6371,116.9816
75,139.8962,124.3119,117.9354
76,137.7402,122.8876,118.7005
77,135.7008,121.3864,119.2821
78,133.7715,119.8283,119.6871
79,131.9465,118.2311,119.9234
80,130.2201,116.6107,120.0000
81,128.5870,114.9812,119.9267
82,127.0421,113.3546,119.7136
83,125.5808,111.7416,119.3713
84,124.1984,110.1511,118.9104
85,122.8907,108.5908,118.3417
86,121.6536,107.0671,117.6756
87,120.4835,105.5849,116.9226
88,119.3765,104.1487,116.0926
89,118.3294,102.7615,115.1955
90,117.3389,101.4258,114.2405
91,116.4019,100.1432,113.2363
92,115.5155,98.9149,112.1915
93,114.6770,97.7414,111.1136
94,113.8839,96.6227,110.0102
95,113.1336,95.5585,108.8879
96,112.4239,94.5480,107.7530
97,111.7525,93.5902,106.6113
98,111.1174,92.6841,105.4679
99,110.5166,91.8281,104.3277
100,109.9482,91.0206,103.1949
101,109.4106,90.2601,102.0733
102,108.9021,89.5447,100.9664
103,108.4210,88.8727,99.8771
104,107.9659,88.2420,98.8080
105,107.5354,87.6510,97.7615
106,107.1282,87.0976,96.7394
107,106.7430,86.5801,95.7433
108,106.3786,86.0965,94.7746
109,106.0339,85.6452,93.8344
110,105.7078,85.2242,92.9233
111,105.3994,84.8319,92.0422
112,105.1076,84.4667,91.1913
113,104.8316,84.1270,90.3709
114,104.5705,83.8112,89.5810
115,104.3235,83.5178,88.8216
116,104.0898,83.2455,88.0924
117,103.8688,82.9928,87.3932
118,103.6598,82.7586,86.7235
119,103.4620,82.5417,86.0828
120,103.2749,82.3408,85.4704
121,103.0979,82.1549,84.8859
122,102.9305,81.9830,84.3284
123,102.7721,81.8241,83.7973
124,102.6223,81.6773,83.2918
125,102.4806,81.5418,82.8110
126,102.3466,81.4167,82.3542
127,102.2198,81.3013,81.9205
128,102.0998,81.1949,81.5091
129,101.9863,81.0968,81.1191
130,101.8790,81.0065,80.7497
131,101.7774,80.9233,80.4001
132,101.6814,80.8467,80.0694
133,101.5905,80.7763,79.7569
134,101.5046,80.7115,79.4617
135,101.4233,80.6519,79.1830
136,101.3463,80.5972,78.9201
137,101.2736,80.5469,78.6722
138,101.2048,80.5007,78.4387
139,101.1397,80.4583,78.2187
140,101.0781,80.4193,78.0117
141,101.0198,80.3836,77.8169
142,100.9647,80.3509,77.6338
143,100.9126,80.3208,77.4617
144,100.8633,80.2933,77.3001
145,100.8166,80.2681,77.1484
146,100.7725,80.2450,77.0059
147,100.7307,80.2238,76.8724
148,100.6912,80.2044,76.7471
149,100.6539,80.1867,76.6298
150,100.6185,80.1704,76.5198
151,100.5851,80.1556,76.4168
152,100.5535,80.1420,76.3205
153,100.5236,80.1295,76.2303
154,100.4953,80.1182,76.1460
155,100.4685,80.1078,76.0671
156,100.4432,80.0983,75.9934
157,100.4193,80.0896,75.9246
158,100.3966,80.0817,75.8602
159,100.3752,80.0745,75.8002
160,100.3549,80.0679,75.7442
161,100.3357,80.0619,75.6919
162,100.3176,80.0564,75.6431
163,100.3004,80.0513,75.5976
164,100.2842,80.0467,75.5553
165,100.2688,80.0426,75.5157
166,100.2543,80.0388,75.4789
167,100.2406,80.0353,75.4447
168,100.2276,80.0321,75.4128
169,100.2153,80.0292,75.3831
170,100.2036,80.0266,75.3554
171,100.1926,80.0242,75.3297
172,100.1822,80.0220,75.3058
173,100.1724,80.0200,75.2835
174,100.1630,80.0182,75.2629
175,100.1542,80.0166,75.2437
176,100.1459,80.0151,75.2258
177,100.1380,80.0137,75.2092
178,100.1306,80.0124,75.1938
179,100.1235,80.0113,75.1795
180,100.1168,80.0103,75.1662
